Cosmetic Products Regulation, Annex II - Prohibited Substances
Note: Group entries are split in different rows.
Export date: 10/10/2024 21:22:23
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Name"	"EC Number"	"CAS"	"Molecular formula"	"Expressed As"	"Product type, body parts"	"Maximum Threshold"	"Restriction(s)"	"Notes"	
"Distillates (petroleum), C6-rich"	"296-903-4"	"93165-19-6"	"1539"	"Distillates (petroleum), C6-rich"	"296-903-4"	"93165-19-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (petroleum), C3-6, piperylene-rich"	"270-726-2"	"68477-35-0"	"1542"	"Distillates (petroleum), C3-6, piperylene-rich"	"270-726-2"	"68477-35-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w 1,3-butadiene"	"Generated using distillation and/or other processing methods"	
"Distillates (petroleum), C3-6, piperylene-rich"	"270-726-2"	"68477-35-0"	"494"	"Distillates (petroleum), C3-6, piperylene-rich"	"270-726-2"	"68477-35-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contains &gt; 0.1% (w/w) Butadiene"	""	
"Distillates (petroleum), C3-5, 2-methyl-2-butene-rich"	"270-725-7"	"68477-34-9"	"1539"	"Distillates (petroleum), C3-5, 2-methyl-2-butene-rich"	"270-725-7"	"68477-34-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (petroleum), alkene-alkyne manuf. pyrolysis oil, mixed with high-temp. coal tar, indene fraction"	"295-292-1"	"91995-31-2"	"1539"	"Distillates (petroleum), alkene-alkyne manuf. pyrolysis oil, mixed with high-temp. coal tar, indene fraction"	"295-292-1"	"91995-31-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (petroleum), acid-treated middle"	"265-113-1"	"64742-13-8"	"870"	"Distillates (petroleum), acid-treated middle"	"265-113-1"	"64742-13-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen"	""	
"Distillates (petroleum), acid-treated light paraffinic"	"265-121-5"	"64742-21-8"	"975"	"Distillates (petroleum), acid-treated light paraffinic"	"265-121-5"	"64742-21-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Distillates (petroleum), acid-treated light naphthenic"	"265-118-9"	"64742-19-4"	"973"	"Distillates (petroleum), acid-treated light naphthenic"	"265-118-9"	"64742-19-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Distillates (petroleum), acid-treated light"	"265-114-7"	"64742-14-9"	"871"	"Distillates (petroleum), acid-treated light"	"265-114-7"	"64742-14-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen"	""	
"Distillates (petroleum), acid-treated heavy paraffinic"	"265-119-4"	"64742-20-7"	"974"	"Distillates (petroleum), acid-treated heavy paraffinic"	"265-119-4"	"64742-20-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Distillates (petroleum), acid-treated heavy naphthenic"	"265-117-3"	"64742-18-3"	"972"	"Distillates (petroleum), acid-treated heavy naphthenic"	"265-117-3"	"64742-18-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Distillates (coal-petroleum), condensed-ring arom."	"269-159-3"	"68188-48-7"	"614"	"Distillates (coal-petroleum), condensed-ring arom."	"269-159-3"	"68188-48-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contain &gt; 0.005% (w/w) benzo[a]pyrene"	""	
"Distillates (coal), solvent extn. hydrocracked middle"	"302-692-2"	"94114-56-4"	"1539"	"Distillates (coal), solvent extn. hydrocracked middle"	"302-692-2"	"94114-56-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal), solvent extn. hydrocracked hydrogenated middle"	"302-693-8"	"94114-57-5"	"1539"	"Distillates (coal), solvent extn. hydrocracked hydrogenated middle"	"302-693-8"	"94114-57-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal), solvent extn. hydrocracked"	"302-689-6"	"94114-53-1"	"1539"	"Distillates (coal), solvent extn. hydrocracked"	"302-689-6"	"94114-53-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal), liq. solvent extn. primary"	"302-688-0"	"94114-52-0"	"1539"	"Distillates (coal), liq. solvent extn. primary"	"302-688-0"	"94114-52-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal), coke-oven light oil, naphthalene cut"	"285-076-5"	"85029-51-2"	"1541"	"Distillates (coal), coke-oven light oil, naphthalene cut"	"285-076-5"	"85029-51-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal), coal tar-residual pyrolysis oils, naphthalene oils"	"295-295-8"	"91995-35-6"	"1539"	"Distillates (coal), coal tar-residual pyrolysis oils, naphthalene oils"	"295-295-8"	"91995-35-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), naphthalene oils, naphthalene-low"	"284-898-1"	"84989-09-3"	"1541"	"Distillates (coal tar), naphthalene oils, naphthalene-low"	"284-898-1"	"84989-09-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), naphthalene oils, naphthalene-free, alk. exts."	"292-612-1"	"90640-90-7"	"1541"	"Distillates (coal tar), naphthalene oils, naphthalene-free, alk. exts."	"292-612-1"	"90640-90-7"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), naphthalene oils, methylnaphthalene fraction"	"309-985-4"	"101896-27-9"	"1541"	"Distillates (coal tar), naphthalene oils, methylnaphthalene fraction"	"309-985-4"	"101896-27-9"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), naphthalene oils, indole-methylnaphthalene fraction"	"309-972-3"	"101794-91-6"	"1541"	"Distillates (coal tar), naphthalene oils, indole-methylnaphthalene fraction"	"309-972-3"	"101794-91-6"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), naphthalene oils, alk. exts."	"292-611-6"	"90640-89-4"	"1541"	"Distillates (coal tar), naphthalene oils, alk. exts."	"292-611-6"	"90640-89-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), naphthalene oils, acid exts."	"295-309-2"	"91995-48-1"	"1541"	"Distillates (coal tar), naphthalene oils, acid exts."	"295-309-2"	"91995-48-1"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), naphthalene oils"	"283-484-8"	"84650-04-4"	"1541"	"Distillates (coal tar), naphthalene oils"	"283-484-8"	"84650-04-4"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), naphthalene oil crystn. mother liquor"	"295-310-8"	"91995-49-2"	"1541"	"Distillates (coal tar), naphthalene oil crystn. mother liquor"	"295-310-8"	"91995-49-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), light oils, neutral fraction"	"309-971-8"	"101794-90-5"	"1539"	"Distillates (coal tar), light oils, neutral fraction"	"309-971-8"	"101794-90-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), light oils, alk. exts."	"292-610-0"	"90640-88-3"	"1541"	"Distillates (coal tar), light oils, alk. exts."	"292-610-0"	"90640-88-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), light oils, acid exts."	"292-609-5"	"90640-87-2"	"1539"	"Distillates (coal tar), light oils, acid exts."	"292-609-5"	"90640-87-2"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), light oils"	"283-483-2"	"84650-03-3"	"1539"	"Distillates (coal tar), light oils"	"283-483-2"	"84650-03-3"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene"	"Generated using distillation and/or other processing methods"	
"Distillates (coal tar), benzole fraction, distn. residues"	"310-165-3"	"121620-46-0"	"1541"	"Distillates (coal tar), benzole fraction, distn. residues"	"310-165-3"	"121620-46-0"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substances contain ≥ 0.1 % w/w benzene or if they contain ≥ 0.005 % w/w benzo[a]pyrene"	"Generated using distillation and/or other processing methods"	
"Disperse Yellow 3"	"220-600-8"	"2832-40-8"	"1055"	"Disperse Yellow 3"	"220-600-8"	"2832-40-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Disperse Red 15"	"204-163-0"	"116-85-8"	"1241"	"Disperse Red 15"	"204-163-0"	"116-85-8"	""	""	"All cosmetic products"	"0 %"	"Not permitted except as impurity in Disperse Violet 1"	""	
"Disodium[5-[[4'-[[2,6-dihydroxy-3-[(2-hydroxy-5-sulphophenyl) azo]phenyl]azo][1,1'-biphenyl]-4-yl]azo]salicylato(4-)]cuprate(2-)"	"240-221-1"	"16071-86-6"	"991"	"Disodium[5-[[4&#39;-[[2,6-dihydroxy-3-[(2-hydroxy-5-sulphophenyl) azo]phenyl]azo][1,1&#39;-biphenyl]-4-yl]azo]salicylato(4-)]cuprate(2-)"	"240-221-1"	"16071-86-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Disodium tetraborate pentahydrate"	"601-808-1"	"12179-04-3"	"1396"	"Disodium tetraborate pentahydrate"	"601-808-1"	"12179-04-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Disodium tetraborate decahydrate"	"603-411-9"	"1303-96-4"	"1396"	"Disodium tetraborate decahydrate"	"603-411-9"	"1303-96-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Disodium pentacyanonitrosylferrate(2-) dihydrate"	"604-025-3"	"13755-38-9"	"255"	"Disodium pentacyanonitrosylferrate(2-) dihydrate"	""	"13755-38-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Disodium pentacyanonitrosylferrate"	"238-373-9"	"14402-89-2"	"255"	"Disodium pentacyanonitrosylferrate"	"238-373-9"	"14402-89-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Disodium octaborate tetrahydrate"	"234-541-0"	"12280-03-4"	"1396"	"Disodium octaborate tetrahydrate"	""	"12280-03-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Disodium octaborate anhydrous"	"234-541-0"	"12008-41-2"	"1396"	"Disodium octaborate anhydrous"	"234-541-0"	"12008-41-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Disodium [29H,31H-phthalocyaninedisulphonato(4-)-N29,N30,N31,N32]cuprate(2-)"	"215-537-8"	"1330-38-7"	"1368"	"Disodium [29H,31H-phthalocyaninedisulphonato(4-)-N29,N30,N31,N32]cuprate(2-)"	"215-537-8"	"1330-38-7"	""	""	"Hair dye products"	"0 %"	""	""	
"Disodium 5-((4-((7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo)-1-naphthyl)azo)salicylate"	"222-351-0"	"3442-21-5"	"1266"	"Disodium 5-((4-((7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo)-1-naphthyl)azo)salicylate"	"222-351-0"	"3442-21-5"	""	""	"Hair dye products"	"0 %"	""	""	
"Disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo] [1,1'-biphenyl]-4-yl]azo]-5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate"	"217-710-3"	"1937-37-7"	"987"	"Disodium 4-amino-3-[[4&#39;-[(2,4-diaminophenyl)azo] [1,1&#39;-biphenyl]-4-yl]azo]-5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate"	"217-710-3"	"1937-37-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Disodium 4-[(5-chloro-4-methyl-2-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate"	"222-642-2"	"3564-21-4"	"1348"	"Disodium 4-[(5-chloro-4-methyl-2-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate"	"222-642-2"	"3564-21-4"	""	""	"Hair dye products"	"0 %"	""	""	
"Disodium 3-[(2,4-dimethyl-5-sulphonatophenyl)azo]-4-hydroxynaphthalene-1-sulphonate"	"224-909-9"	"4548-53-2"	"1341"	"Disodium 3-[(2,4-dimethyl-5-sulphonatophenyl)azo]-4-hydroxynaphthalene-1-sulphonate"	"224-909-9"	"4548-53-2"	""	""	"Hair dye products"	"0 %"	""	""	
"Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate)"	"209-358-4"	"573-58-0"	"986"	"Disodium 3,3&#39;-[[1,1&#39;-biphenyl]-4,4&#39;-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate)"	"209-358-4"	"573-58-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Disodium 3,3'-(sulphonylbis((2-nitro-p-phenylene)imino))bis(6-anilinobenzenesulphonate)"	"228-922-0"	"6373-79-1"	"1258"	"Disodium 3,3&#39;-(sulphonylbis((2-nitro-p-phenylene)imino))bis(6-anilinobenzenesulphonate)"	"228-922-0"	"6373-79-1"	""	""	"Hair dye products"	"0 %"	""	""	
"Disodium 3(or 5)-((4-((7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo)-1-naphthyl)azo)salicylate"	"252-305-5"	"34977-63-4"	"1266"	"Disodium 3(or 5)-((4-((7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo)-1-naphthyl)azo)salicylate"	"252-305-5"	"34977-63-4"	""	""	"Hair dye products"	"0 %"	""	""	
"Disodium 2-(4,5-dibromo-6-oxido-3-oxoxanthen-9-yl)benzoate"	"224-468-2"	"4372-02-5"	"1333"	"Disodium 2-(4,5-dibromo-6-oxido-3-oxoxanthen-9-yl)benzoate"	"224-468-2"	"4372-02-5"	""	""	"Hair dye products"	"0 %"	""	""	
"Disodium 2-(3-oxo-6-oxidoxanthen-9-yl)benzoate"	"208-253-0"	"518-47-8"	"1332"	"Disodium 2-(3-oxo-6-oxidoxanthen-9-yl)benzoate"	"208-253-0"	"518-47-8"	""	""	"Hair dye products"	"0 %"	""	""	
"Disodium 2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate"	"241-409-6"	"17372-87-1"	"1334"	"Disodium 2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)benzoate"	"241-409-6"	"17372-87-1"	""	""	"Hair dye products"	"0 %"	""	""	
"Diphosphoric acid, nickel(II) salt"	"-"	"19372-20-4"	"1438"	"Diphosphoric acid, nickel(II) salt"	""	"19372-20-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diphenylpyraline"	"205-686-7"	"147-20-6"	"154"	"Diphenylpyraline"	"205-686-7"	"147-20-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diphenylether, octabromo derivate"	"251-087-9"	"32536-52-0"	"1146"	"Diphenylether, octabromo derivate"	"251-087-9"	"32536-52-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diphenylamine"	"204-539-4"	"122-39-4"	"434"	"Diphenylamine"	"204-539-4"	"122-39-4"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"Diphenhydramine"	"200-396-7"	"58-73-1"	"339"	"Diphenhydramine"	"200-396-7"	"58-73-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dioxethedrin"	"207-849-8"	"497-75-6"	"136"	"Dioxethedrin"	"207-849-8"	"497-75-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dioxane"	"204-661-8"	"123-91-1"	"343"	"Dioxane"	"204-661-8"	"123-91-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dioctyltin dilaurate"	"222-883-3"	"3648-18-8"	"1660"	"Dioctyltin dilaurate"	"222-883-3"	"3648-18-8"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 March 2022"	
"Dinoterb"	"215-813-8"	"1420-07-1"	"696"	"Dinoterb"	"215-813-8"	"1420-07-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dinoseb"	"201-861-7"	"88-85-7"	"684"	"Dinoseb"	"201-861-7"	"88-85-7"	""	""	"All cosmetic products"	"0 %"	"With the exception of those specified elsewhere in this list"	""	
"Dinocap (ISO)"	"254-408-0"	"39300-45-3"	"1143"	"Dinocap (ISO)"	"254-408-0"	"39300-45-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dinitrotoluene, technical grade"	"246-836-1"	"25321-14-6"	"687"	"Dinitrotoluene, technical grade"	"246-836-1"	"25321-14-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dinitrophenol isomers"	"247-096-2"	"25550-58-7"	"151"	"Dinitrophenol isomers"	"247-096-2"	"25550-58-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dinickel trioxide"	"215-217-8"	"1314-06-3"	"456"	"Dinickel trioxide"	"215-217-8"	"1314-06-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dinickel silicide"	"235-033-1"	"12059-14-2"	"1462"	"Dinickel silicide"	"235-033-1"	"12059-14-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dinickel phosphide"	"234-828-0"	"12035-64-2"	"1462"	"Dinickel phosphide"	"234-828-0"	"12035-64-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dinickel orthosilicate"	"237-411-1"	"13775-54-7"	"1442"	"Dinickel orthosilicate"	"237-411-1"	"13775-54-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dinickel hexacyanoferrate"	"238-946-3"	"14874-78-3"	"1443"	"Dinickel hexacyanoferrate"	"238-946-3"	"14874-78-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dinickel diphosphate"	"238-426-6"	"14448-18-1"	"1438"	"Dinickel diphosphate"	"238-426-6"	"14448-18-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dinickel boride"	"234-494-6"	"12007-01-1"	"1462"	"Dinickel boride"	"234-494-6"	"12007-01-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimoxystrobin (ISO)"	"604-712-8"	"149961-52-4"	"1536"	"Dimoxystrobin (ISO)"	"604-712-8"	"149961-52-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimevamide"	"200-479-8"	"60-46-8"	"153"	"Dimevamide"	"200-479-8"	"60-46-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimethyltin dichloride"	"212-039-2"	"753-73-1"	"1568"	"Dimethyltin dichloride"	"212-039-2"	"753-73-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimethylsulphamoyl-chloride"	"236-412-4"	"13360-57-1"	"752"	"Dimethylsulphamoyl-chloride"	"236-412-4"	"13360-57-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimethylnitrosoamine"	"200-549-8"	"62-75-9"	"410"	"Dimethylnitrosoamine"	"200-549-8"	"62-75-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimethylhexanoic acid, nickel salt"	"301-323-2"	"93983-68-7"	"1460"	"Dimethylhexanoic acid, nickel salt"	"301-323-2"	"93983-68-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimethylformamide"	"200-679-5"	"68-12-2"	"355"	"Dimethylformamide"	"200-679-5"	"68-12-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimethylcarbamoyl chloride"	"201-208-6"	"79-44-7"	"670"	"Dimethylcarbamoyl chloride"	"201-208-6"	"79-44-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimethylamine"	"204-697-4"	"124-40-3"	"142"	"Dimethylamine"	"204-697-4"	"124-40-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimethyl sulphate"	"201-058-1"	"77-78-1"	"750"	"Dimethyl sulphate"	"201-058-1"	"77-78-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimethyl sulfoxide"	"200-664-3"	"67-68-5"	"338"	"Dimethyl sulfoxide"	"200-664-3"	"67-68-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dimethyl citraconate"	"-"	"617-54-9"	"431"	"Dimethyl citraconate"	""	"617-54-9"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"Dimethomorph (ISO)"	"404-200-2"	"110488-70-5"	"1690"	"Dimethomorph (ISO)"	"404-200-2"	"110488-70-5"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 17 December 2022"	
"Diisopentylphthalate"	"210-088-4"	"605-50-5"	"1151"	"Diisopentylphthalate"	"210-088-4"	"605-50-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diisooctyl phthalate"	"248-523-5"	"27554-26-3"	"1667"	"Diisooctyl phthalate"	"248-523-5"	"27554-26-3"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 March 2022"	
"Diisohexyl phthalate"	"276-090-2"	"71850-09-4"	"1652"	"Diisohexyl phthalate"	"276-090-2"	"71850-09-4"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 October 2021"	
"Diisobutyl phthalate"	"201-553-2"	"84-69-5"	"1492"	"Diisobutyl phthalate"	"201-553-2"	"84-69-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dihydrotachysterol"	"200-672-7"	"67-96-9"	"342"	"Dihydrotachysterol"	"200-672-7"	"67-96-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dihexyl phthalate"	"201-559-5"	"84-75-3"	"1559"	"Dihexyl phthalate"	"201-559-5"	"84-75-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Digitalin"	"212-036-6"	"752-61-4"	"134"	"Digitalin"	"212-036-6"	"752-61-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Difethialone (ISO)"	"600-594-7"	"104653-34-1"	"1635"	"Difethialone (ISO)"	"600-594-7"	"104653-34-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Difencloxazine"	"-"	"5617-26-5"	"270"	"Difencloxazine"	""	"5617-26-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Difenacoum (ISO)"	"259-978-4"	"56073-07-5"	"1628"	"Difenacoum (ISO)"	"259-978-4"	"56073-07-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diethylcarbamoyl-chloride"	"201-798-5"	"88-10-8"	"1112"	"Diethylcarbamoyl-chloride"	"201-798-5"	"88-10-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diethyl sulphate"	"200-589-6"	"64-67-5"	"749"	"Diethyl sulphate"	"200-589-6"	"64-67-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diethyl maleate"	"205-451-9"	"141-05-9"	"426"	"Diethyl maleate"	"205-451-9"	"141-05-9"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"Diethyl 4-nitrophenyl phosphate"	"206-221-0"	"311-45-5"	"170"	"Diethyl 4-nitrophenyl phosphate"	"206-221-0"	"311-45-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Diethanolamine perfluorooctane sulfonate"	"274-460-8"	"70225-14-8"	"1493"	"Diethanolamine perfluorooctane sulfonate"	"274-460-8"	"70225-14-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dieldrin"	"200-484-5"	"60-57-1"	"1078"	"Dieldrin"	"200-484-5"	"60-57-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dicyclohexyl phthalate"	"201-545-9"	"84-61-7"	"1637"	"Dicyclohexyl phthalate"	"201-545-9"	"84-61-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dicoumarol"	"200-632-9"	"66-76-2"	"231"	"Dicoumarol"	"200-632-9"	"66-76-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dichlorosalicylanilides"	"-"	"1147-98-4"	"349"	"Dichlorosalicylanilides"	""	"1147-98-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dichloromethane"	"200-838-9"	"75-09-2"	"1389"	"Dichloromethane"	"200-838-9"	"75-09-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dichloroethylenes"	"690-385-7"	"25323-30-2"	"126"	"Dichloroethylenes"	""	"25323-30-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dichloroethanes"	"215-077-8"	"1300-21-6"	"125"	"Dichloroethanes"	""	"1300-21-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dichlorodioctylstannane"	"222-583-2"	"3542-36-7"	"1676"	"Dichlorodioctylstannane"	"222-583-2"	"3542-36-7"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 March 2022"	
"Dibutyltin hydrogen borate"	"401-040-5"	"75113-37-0"	"1400"	"Dibutyltin hydrogen borate"	"401-040-5"	"75113-37-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dibutyltin dilaurate"	"201-039-8"	"77-58-7"	"1601"	"Dibutyltin dilaurate"	"201-039-8"	"77-58-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dibutyltin dichloride"	"211-670-0"	"683-18-1"	"1466"	"Dibutyltin dichloride"	"211-670-0"	"683-18-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Dibutyltin di(acetate)"	"213-928-8"	"1067-33-0"	"1697"	"Dibutyltin di(acetate)"	"213-928-8"	"1067-33-0"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
"Dibutyltin bis(2-ethylhexanoate)"	"220-481-2"	"2781-10-4"	"1696"	"Dibutyltin bis(2-ethylhexanoate)"	"220-481-2"	"2781-10-4"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 December 2023"	
